

  Blocking Receive Statistics
   # Bytes     # Microsec     # Millisec
         4           1011              1
         8              0              0
        16             10              0
        32              0              0
        64              0              0
       128              0              0
       256              0              0
       512              0              0
      1024              0              0
      2048              0              0
      4096              0              0
      8192              4              0
     16384              6              0
     32768             12              0
     65536             37              0
    131072             66              0
    262144            124              0
    524288            233              0
   1048576            457              0
   2097152            902              0


    Blocking Send Statistics
   # Bytes     # Microsec     # Millisec
         4            998              0
         8              0              0
        16              0              0
        32              0              0
        64              0              0
       128              0              0
       256              0              0
       512              0              0
      1024              0              0
      2048              0              0
      4096              0              0
      8192              0              0
     16384              1              0
     32768              1              0
     65536             39              0
    131072             47              0
    262144             66              0
    524288            163              0
   1048576            352              0
   2097152            807              0
