

           Receive Statistics
   # Bytes     # Microsec     # Millisec
         4          20226             20
         8              2              0
        16            198              0
        32              1              0
        64              0              0
       128              0              0
       256              0              0
       512              0              0
      1024              0              0
      2048              0              0
      4096              1              0
      8192             81              0
     16384            128              0
     32768            262              0
     65536            740              0
    131072           1322              1
    262144           2455              2
    524288           4666              4
   1048576           9124              9
   2097152          18037             18
   4194304          35880             35
   8388608          71533             71
  16777216         142817            142
  33554432         285371            285
  67108864         570499            570


             Send Statistics
   # Bytes     # Microsec     # Millisec
         4          20011             20
         8              9              0
        16              4              0
        32              2              0
        64              2              0
       128              3              0
       256              3              0
       512              2              0
      1024              6              0
      2048              4              0
      4096              8              0
      8192              8              0
     16384             34              0
     32768             21              0
     65536            717              0
    131072            820              0
    262144           1493              1
    524288           3976              3
   1048576           8205              8
   2097152          18880             18
   4194304          33779             33
   8388608          66234             66
  16777216         141480            141
  33554432         287061            287
  67108864         564479            564
