

           Blocking Receive Statistics
   # Bytes     # Microsec     # Millisec
         4             20              0
         8              0              0
        16              0              0
        32              0              0
        64              0              0
       128              6              0
       256              1              0
       512              1              0
      1024             39              0
      2048              3              0
      4096             17              0
      8192            119              0
     16384            131              0
     32768            268              0
     65536            831              0
    131072           1487              1
    262144           2444              2
    524288           4663              4
   1048576           9114              9
   2097152          18024             18
   4194304          35843             35
   8388608          71446             71
  16777216         142671            142
  33554432         285092            285
  67108864         569941            569


             Blocking Send Statistics
   # Bytes     # Microsec     # Millisec
         4             22              0
         8              1              0
        16              6              0
        32              2              0
        64              2              0
       128              2              0
       256              2              0
       512              2              0
      1024              3              0
      2048              4              0
      4096             10              0
      8192             14              0
     16384             39              0
     32768            197              0
     65536            797              0
    131072           1641              1
    262144           2443              2
    524288           4661              4
   1048576           9114              9
   2097152          18006             18
   4194304          35805             35
   8388608          69769             69
  16777216         142534            142
  33554432         283730            283
  67108864         563723            563
