

             Send Statistics
   # Bytes     # Microsec     # Millisec
         4             22              0
         8              1              0
        16              5              0
        32              2              0
        64              1              0
       128              2              0
       256              2              0
       512              2              0
      1024              2              0
      2048              3              0
      4096              5              0
      8192             22              0
     16384             16              0
     32768             52              0
     65536            685              0
    131072           1324              1
    262144           2438              2
    524288           4656              4
   1048576           9112              9
   2097152          18022             18
   4194304          35855             35
   8388608          71448             71
  16777216         142273            142
  33554432         287325            287
  67108864         568728            568


           Receive Statistics
   # Bytes     # Microsec     # Millisec
         4             21              0
         8              0              0
        16              0              0
        32              9              0
        64              0              0
       128              0              0
       256              3              0
       512              1              0
      1024             11              0
      2048              3              0
      4096             14              0
      8192             41              0
     16384            138              0
     32768            257              0
     65536            727              0
    131072           1322              1
    262144           2441              2
    524288           4662              4
   1048576           9122              9
   2097152          18030             18
   4194304          35849             35
   8388608          71446             71
  16777216         142664            142
  33554432         285101            285
  67108864         570074            570


             Send Statistics
   # Bytes     # Microsec     # Millisec
         4              1              0
         8              2              0
        16              1              0
        32              1              0
        64              1              0
       128              2              0
       256              2              0
       512              1              0
      1024              1              0
      2048              2              0
      4096              4              0
      8192              9              0
     16384        2062225           2062
     32768           1210              1
     65536       -1812133          -1812
    131072           1532              1
    262144           2448              2
    524288           4665              4
   1048576           9109              9
   2097152          18027             18
   4194304          35873             35
   8388608          73266             73
  16777216         142949            142
  33554432         285719            285
  67108864        2633758           2633


           Receive Statistics
   # Bytes     # Microsec     # Millisec
         4              0              0
         8              0              0
        16              0              0
        32              9              0
        64        -794590           -794
       128             32              0
       256        -794402           -794
       512             32              0
      1024         432041            432
      2048             33              0
      4096             53              0
      8192            145              0
     16384        -794462           -794
     32768            264              0
     65536        -793863           -793
    131072           1363              1
    262144        -791960           -791
    524288           4696              4
   1048576           9111              9
   2097152          18029             18
   4194304          35843             35
   8388608          71455             71
  16777216        -655196           -655
  33554432         285123            285
  67108864        -224642           -224
