

  Blocking Receive Statistics
   # Bytes     # Microsec     # Millisec
         4             21              0
         8              0              0
        16              0              0
        32              0              0
        64              3              0
       128              0              0
       256              0              0
       512              0              0
      1024             21              0
      2048             47              0
      4096              7              0
      8192             63              0
     16384            153              0
     32768            222              0
     65536            729              0
    131072           1327              1
    262144           2439              2
    524288           4664              4
   1048576           9115              9
   2097152          18025             18
   4194304          35848             35
   8388608          71453             71
  16777216         142672            142
  33554432         285093            285
  67108864         569977            569


Non-Blocking Receive Statistics
   # Bytes     # Microsec     # Millisec
         4              0              0
         8              0              0
        16              0              0
        32              0              0
        64              0              0
       128              0              0
       256              0              0
       512              0              0
      1024              1              0
      2048              1              0
      4096              1              0
      8192              2              0
     16384             94              0
     32768            176              0
     65536            709              0
    131072           1333              1
    262144           2460              2
    524288           4660              4
   1048576           9135              9
   2097152          18044             18
   4194304          35873             35
   8388608          71533             71
  16777216         142807            142
  33554432         285382            285
  67108864         570501            570


    Blocking Send Statistics
   # Bytes     # Microsec     # Millisec
         4             22              0
         8              1              0
        16              1              0
        32              1              0
        64              2              0
       128              2              0
       256              2              0
       512              3              0
      1024              3              0
      2048              3              0
      4096              6              0
      8192             11              0
     16384             74              0
     32768             36              0
     65536            714              0
    131072           1326              1
    262144           2436              2
    524288           4659              4
   1048576           9116              9
   2097152          18030             18
   4194304          35823             35
   8388608          71469             71
  16777216         142703            142
  33554432         285148            285
  67108864         569973            569


Non-Blocking Send Statistics
   # Bytes     # Microsec     # Millisec
         4              2              0
         8              2              0
        16              2              0
        32              1              0
        64              2              0
       128              2              0
       256              2              0
       512              2              0
      1024              2              0
      2048              2              0
      4096              4              0
      8192             15              0
     16384             19              0
     32768           9843              9
     65536            710              0
    131072           1333              1
    262144           2456              2
    524288           4665              4
   1048576           9122              9
   2097152          18058             18
   4194304          35927             35
   8388608          71446             71
  16777216         142848            142
  33554432         285386            285
  67108864         570451            570
